ID,Make,Year of manufacture,Condition,Mileage,Engine Size,Fuel,Transmission,Price,Build,,,
292,Mercedes-Benz,2018,Foreign Used,56263,3000,Petrol,Automatic,52000000.00,SUV,,,
293,Mercedes-Benz,2007,Nigerian Used,110228,4500,Petrol,Automatic,5200000.00,SUV,,,
294,Toyota,2009,Foreign Used,104917,2400,Petrol,Automatic,3465000.00,Not SUV,,,
295,Mercedes-Benz,2013,Foreign Used,225174,3500,Petrol,Automatic,13520000.00,SUV,,,
296,Lexus,2007,Foreign Used,203757,3500,Petrol,Automatic,4576000.00,Not SUV,,,
297,Lexus,2005,Foreign Used,123282,3000,Petrol,Automatic,3150000.00,Not SUV,,,
298,Toyota,2012,Foreign Used,172079,2500,Petrol,Automatic,5250000.00,Not SUV,,,
299,Toyota,2015,Nigerian Used,47602,3500,Petrol,Automatic,9660000.00,SUV,,,
300,Toyota,2017,Foreign Used,78320,2500,Petrol,Automatic,7035000.00,Not SUV,,,
301,Toyota,2009,Foreign Used,104917,2400,Petrol,Automatic,3465000.00,Not SUV,,,
302,Lexus,2007,Foreign Used,203757,3500,Petrol,Automatic,4576000.00,Not SUV,,,
303,Toyota,2011,Foreign Used,211357,2500,Petrol,Automatic,4515000.00,Not SUV,,,
304,Toyota,2014,Foreign Used,115296,3500,Petrol,Automatic,15600000.00,SUV,,,
305,Lexus,2008,Nigerian Used,142273,3500,Petrol,Automatic,4680000.00,SUV,,,
306,Land Rover,2018,Foreign Used,59656,3000,Diesel,Automatic,42000000.00,SUV,,,
307,Mercedes-Benz,2009,Nigerian Used,100337,4600,Petrol,Automatic,4472000.00,SUV,,,
308,Toyota,2011,Foreign Used,145489,2500,Petrol,Automatic,3885000.00,Not SUV,,,
309,Toyota,2019,Foreign Used,63646,2500,Petrol,Automatic,16800000.00,SUV,,,
310,Mercedes-Benz,2004,Foreign Used,204436,2600,Petrol,Automatic,3675000.00,Not SUV,,,
311,Land Rover,2006,Foreign Used,118872,3500,Petrol,Automatic,3150000.00,SUV,,,
312,Toyota,2015,Foreign Used,150157,2700,Petrol,Automatic,10400000.00,SUV,,,
313,Mercedes-Benz,2015,Nigerian Used,61515,3500,Petrol,Automatic,14560000.00,SUV,,,
314,Toyota,2012,Nigerian Used,47180,2700,Petrol,Automatic,14560000.00,SUV,,,
315,Toyota,2011,Foreign Used,185047,2500,Petrol,Automatic,4200000.00,Not SUV,,,
316,Toyota,2009,Foreign Used,127674,2700,Petrol,Automatic,7140000.00,Not SUV,,,
317,Lexus,2007,Foreign Used,110621,2500,Petrol,Automatic,4095000.00,Not SUV,,,
318,Lexus,2008,Foreign Used,73213,2500,Petrol,Automatic,3360000.00,Not SUV,,,
319,Lexus,2004,Foreign Used,272206,4700,Petrol,Automatic,11440000.00,SUV,,,
320,Lexus,2008,Foreign Used,227424,2500,Petrol,Automatic,4472000.00,Not SUV,,,
322,Lexus,2006,Nigerian Used,160209,2500,Petrol,Automatic,4160000.00,Not SUV,,,
323,Mercedes-Benz,2017,Foreign Used,62879,2000,Petrol,Automatic,13650000.00,Not SUV,,,
324,Mercedes-Benz,2011,Nigerian Used,101316,3500,Petrol,Automatic,5720000.00,Not SUV,,,
325,Lexus,2006,Nigerian Used,210014,4700,Petrol,Automatic,4160000.00,SUV,,,
326,Mercedes-Benz,2015,Nigerian Used,61515,3500,Petrol,Automatic,14560000.00,SUV,,,
327,Toyota,2015,Nigerian Used,37591,3500,Petrol,Automatic,12480000.00,SUV,,,
328,Mercedes-Benz,2009,Foreign Used,232438,3500,Petrol,Automatic,6300000.00,SUV,,,
329,Toyota,2011,Foreign Used,317231,2400,Petrol,Automatic,4472000.00,Not SUV,,,
330,Toyota,2012,Foreign Used,325938,2500,Petrol,Automatic,5250000.00,Not SUV,,,
331,Mercedes-Benz,2012,Foreign Used,148637,3500,Petrol,Automatic,13000000.00,SUV,,,
332,Toyota,2009,Nigerian Used,149599,3500,Petrol,Automatic,5200000.00,SUV,,,
333,Toyota,2015,Foreign Used,354563,2400,Petrol,Manual,15750000.00,Not SUV,,,
334,Lexus,2007,Foreign Used,260907,3500,Petrol,Automatic,3885000.00,Not SUV,,,
335,Toyota,2011,Foreign Used,89330,3500,Petrol,Automatic,7875000.00,Not SUV,,,
336,Acura,2007,Foreign Used,196814,3700,Petrol,Automatic,3570000.00,SUV,,,
338,Lexus,2006,Nigerian Used,157518,3300,Petrol,Automatic,4160000.00,SUV,,,
339,Toyota,2016,Foreign Used,149753,2500,Hybrid,Automatic,5985000.00,Not SUV,,,
340,Lexus,2018,Foreign Used,47581,20,Petrol,Automatic,15750000.00,Not SUV,,,
341,Acura,2008,Nigerian Used,174107,3700,Petrol,Automatic,3744000.00,SUV,,,
342,Acura,2007,Foreign Used,142822,2300,Petrol,Automatic,3570000.00,Not SUV,,,
343,Mercedes-Benz,2011,Foreign Used,203172,3500,Petrol,Automatic,4410000.00,Not SUV,,,
344,Land Rover,2008,Foreign Used,418613,4400,Petrol,Automatic,5250000.00,SUV,,,
345,Toyota,2013,Nigerian Used,103941,2700,Petrol,Automatic,12480000.00,SUV,,,
347,Lincoln,2008,Foreign Used,186615,3500,Petrol,Automatic,3990000.00,SUV,,,
348,Mercedes-Benz,2010,Foreign Used,149647,3500,Petrol,Automatic,8112000.00,SUV,,,
349,Mercedes-Benz,2011,Nigerian Used,73624,3500,Petrol,Automatic,5250000.00,SUV,,,
350,Land Rover,2013,Nigerian Used,70430,2000,Petrol,Automatic,9360000.00,SUV,,,
