"","ID","Make","Year","Condition","Mileage","Engine.Size","Fuel","Transmission","Price","Build","Selling.Rate"
"2683",3376,"Honda",2005,2,225593,2400,"Petrol","Automatic",1417500,"Not SUV",107.90179476082
"2684",3377,"Mercedes-Benz",2005,3,352743,1800,"Petrol","Automatic",1160000,"Not SUV",107.90179476082
"2685",3379,"Toyota",2005,3,156336,2000,"Petrol","Automatic",1365000,"Not SUV",107.90179476082
"2686",3380,"Volkswagen",2006,3,218310,2500,"Petrol","Automatic",1057500,"Not SUV",105.854727600412
"2687",3381,"Honda",2003,3,224187,3000,"Petrol","Automatic",1050000,"Not SUV",120.808438283379
"2688",3383,"Toyota",2002,3,163777,3000,"Petrol","Automatic",1250000,"Not SUV",103.641601889339
"2689",3384,"Honda",2008,3,157477,1800,"Petrol","Automatic",1664000,"Not SUV",106.946299748744
"2690",3385,"Honda",2009,3,432233,1600,"Petrol","Automatic",1664000,"Not SUV",129.358208061889
"2691",3386,"Nissan",2003,2,148224,1800,"Petrol","Manual",1055000,"Not SUV",120.808438283379
"2692",3388,"Toyota",2000,3,39807,2200,"Petrol","Automatic",1352000,"Not SUV",53.2519
"2693",3390,"Mazda",2006,3,170765,2300,"Petrol","Automatic",1680000,"Not SUV",105.854727600412
"2694",3393,"Toyota",2004,3,52982,4700,"Petrol","Automatic",2808000,"SUV",112.832138933951
"2695",3394,"Toyota",2005,3,180634,1500,"Petrol","Automatic",1155000,"Not SUV",107.90179476082
"2696",3395,"Toyota",2007,3,245616,1800,"Petrol","Manual",1207500,"Not SUV",108.223808169935
"2697",3397,"Toyota",2005,3,149839,1800,"Petrol","Automatic",2475000,"Not SUV",107.90179476082
"2698",3398,"Honda",2013,3,186595,1500,"Petrol","Automatic",3360000,"Not SUV",120.782567204696
"2699",3399,"Ford",2010,2,388488,5400,"Petrol","Automatic",7800000,"Not SUV",130.380254951299
"2700",3400,"BMW",2001,3,225431,2200,"Petrol","Automatic",1260000,"Not SUV",98.7896146341463
"2701",3402,"Suzuki",2009,3,113587,2000,"Petrol","Automatic",2100000,"SUV",129.358208061889
"2702",3403,"Toyota",2006,2,409066,2400,"Petrol","Automatic",2730000,"Not SUV",105.854727600412
"2703",3404,"Peugeot",2004,2,99999,1600,"Electric","Automatic",1627500,"Not SUV",112.832138933951
"2704",3405,"Volvo",2005,2,297589,3000,"Petrol","Automatic",1260000,"SUV",107.90179476082
"2705",3407,"Kia",2018,3,15598,1800,"Petrol","Automatic",4200000,"Not SUV",193.854180795148
"2706",3408,"Toyota",2004,3,52982,4700,"Petrol","Automatic",2808000,"SUV",112.832138933951
"2707",3410,"Honda",2005,3,404816,2400,"Petrol","Automatic",1050000,"Not SUV",107.90179476082
"2708",3412,"Mercedes-Benz",2007,2,249549,3500,"Petrol","Automatic",4500000,"Not SUV",108.223808169935
"2709",3413,"Toyota",2006,2,409066,2400,"Petrol","Automatic",2730000,"Not SUV",105.854727600412
"2710",3414,"Suzuki",2009,3,113587,2000,"Petrol","Automatic",2100000,"SUV",129.358208061889
"2711",3416,"Toyota",2009,2,121871,2400,"Petrol","Automatic",5062500,"Not SUV",129.358208061889
"2712",3417,"Toyota",2010,3,360974,2400,"Petrol","Automatic",1995000,"Not SUV",130.380254951299
"2713",3418,"Toyota",2009,2,90852,2400,"Petrol","Automatic",4500000,"Not SUV",129.358208061889
"2714",3419,"Ford",2010,2,388488,5400,"Petrol","Automatic",7800000,"Not SUV",130.380254951299
"2715",3421,"Nissan",2012,3,199155,2500,"Petrol","Automatic",1260000,"SUV",120.331001498127
"2716",3422,"Toyota",2012,3,143438,1600,"Petrol","Manual",2625000,"Not SUV",120.331001498127
"2717",3424,"Toyota",2000,3,207581,1400,"Petrol","Automatic",1047500,"Not SUV",53.2519
"2718",3425,"Toyota",2001,3,327298,2200,"Petrol","Automatic",1050000,"Not SUV",98.7896146341463
"2719",3427,"Lexus",2001,3,198044,3000,"Petrol","Automatic",1365000,"SUV",98.7896146341463
"2720",3428,"Toyota",2003,3,296443,1800,"Petrol","Automatic",1312500,"Not SUV",120.808438283379
"2721",3429,"Honda",2006,3,202078,3000,"Petrol","Automatic",1018500,"Not SUV",105.854727600412
"2722",3431,"Toyota",2004,3,208160,2400,"Petrol","Automatic",1155000,"Not SUV",112.832138933951
"2723",3433,"Toyota",2005,3,149839,1800,"Petrol","Automatic",2475000,"Not SUV",107.90179476082
"2724",3434,"Toyota",2004,3,219124,1800,"Petrol","Automatic",2080000,"Not SUV",112.832138933951
"2725",3436,"Hyundai",2010,3,103739,1600,"Petrol","Manual",1155000,"Not SUV",130.380254951299
"2726",3437,"Honda",2004,3,177588,3500,"Petrol","Automatic",1872000,"SUV",112.832138933951
"2727",3438,"Toyota",2001,2,111027,3000,"Petrol","Automatic",3600000,"SUV",98.7896146341463
"2728",3441,"Toyota",2010,3,360974,2400,"Petrol","Automatic",1995000,"Not SUV",130.380254951299
"2729",3443,"Volvo",2008,2,12074,3200,"Petrol","Automatic",3432000,"SUV",106.946299748744
"2730",3445,"Toyota",2007,3,213548,3500,"Petrol","Automatic",3328000,"SUV",108.223808169935
"2731",3447,"Honda",2009,3,189309,3500,"Petrol","Automatic",1365000,"Not SUV",129.358208061889
"2732",3448,"Toyota",2009,2,210673,1800,"Petrol","Automatic",4275000,"Not SUV",129.358208061889
"2733",3449,"Lexus",2001,3,198044,3000,"Petrol","Automatic",1365000,"SUV",98.7896146341463
"2734",3452,"Volvo",2008,2,12074,3200,"Petrol","Automatic",3432000,"SUV",106.946299748744
"2735",3454,"Toyota",2010,3,203870,2500,"Petrol","Automatic",3640000,"Not SUV",130.380254951299
"2736",3455,"Mercedes-Benz",2016,3,41668,2000,"Petrol","Automatic",10012500,"Not SUV",169.785692893773
"2737",3456,"Honda",2003,3,229437,2400,"Petrol","Automatic",1404000,"Not SUV",120.808438283379
"2738",3457,"Hyundai",2009,3,142520,1600,"Petrol","Automatic",1365000,"Not SUV",129.358208061889
"2739",3458,"Honda",2004,3,177588,3500,"Petrol","Automatic",1872000,"SUV",112.832138933951
"2740",3459,"Lexus",2004,3,360191,3300,"Petrol","Automatic",2475000,"Not SUV",112.832138933951
"2741",3460,"Toyota",2007,2,227184,1500,"Petrol","Automatic",2625000,"Not SUV",108.223808169935
"2742",3461,"Honda",2014,3,24935,1800,"Petrol","Automatic",4725000,"Not SUV",122.119956480118
"2743",3462,"Honda",2008,3,156271,1300,"Petrol","Manual",1050000,"Not SUV",106.946299748744
"2744",3463,"Toyota",2007,3,174956,1500,"Petrol","Manual",1365000,"Not SUV",108.223808169935
"2745",3464,"Toyota",2008,3,59399,1800,"Petrol","Manual",1872000,"Not SUV",106.946299748744
"2746",3465,"Toyota",2009,3,137186,1800,"Petrol","Manual",1575000,"Not SUV",129.358208061889
"2747",3466,"Toyota",2001,2,111027,3000,"Petrol","Automatic",3600000,"SUV",98.7896146341463
"2748",3467,"Honda",2005,3,131992,3000,"Petrol","Automatic",1050000,"Not SUV",107.90179476082
"2749",3469,"Honda",2008,3,370928,2400,"Petrol","Automatic",1155000,"Not SUV",106.946299748744
"2750",3470,"Honda",2007,3,66823,1800,"Petrol","Automatic",1768000,"Not SUV",108.223808169935
"2751",3471,"Hyundai",2009,3,164565,1600,"Petrol","Manual",1155000,"Not SUV",129.358208061889
"2752",3472,"Honda",2002,2,137775,1700,"Petrol","Automatic",1470000,"Not SUV",103.641601889339
"2753",3473,"Mercedes-Benz",2005,3,167169,2400,"Petrol","Automatic",1470000,"Not SUV",107.90179476082
"2754",3474,"Honda",2006,3,168907,1800,"Petrol","Automatic",1365000,"Not SUV",105.854727600412
"2755",3475,"Honda",2010,3,252463,1800,"Petrol","Automatic",1575000,"Not SUV",130.380254951299
"2756",3477,"Honda",2008,2,136143,1800,"Petrol","Automatic",2520000,"Not SUV",106.946299748744
"2757",3478,"Honda",2008,3,178425,1800,"Petrol","Automatic",1456000,"Not SUV",106.946299748744
"2758",3479,"Toyota",2003,2,162691,1800,"Petrol","Automatic",2704000,"Not SUV",120.808438283379
"2759",3480,"Lexus",2007,3,78470,3500,"Petrol","Automatic",5287500,"Not SUV",108.223808169935
"2760",3481,"Toyota",2006,3,169259,1800,"Petrol","Automatic",1365000,"Not SUV",105.854727600412
"2761",3482,"Toyota",2008,3,59399,1800,"Petrol","Manual",1872000,"Not SUV",106.946299748744
"2762",3483,"Lexus",2014,3,53558,3500,"Petrol","Automatic",8400000,"SUV",122.119956480118
"2763",3484,"Toyota",2005,3,195268,1800,"Petrol","Automatic",1365000,"Not SUV",107.90179476082
"2764",3485,"Toyota",2007,3,174956,1500,"Petrol","Manual",1365000,"Not SUV",108.223808169935
"2765",3486,"Toyota",2014,3,308916,1300,"Petrol","Automatic",4200000,"Not SUV",122.119956480118
"2766",3487,"Opel",2002,3,245314,1400,"Petrol","Manual",1260000,"Not SUV",103.641601889339
"2767",3489,"Audi",2009,2,259300,2000,"Petrol","Automatic",3150000,"Not SUV",129.358208061889
"2768",3490,"Honda",2006,3,168907,1800,"Petrol","Automatic",1365000,"Not SUV",105.854727600412
"2769",3491,"Honda",2005,3,131992,3000,"Petrol","Automatic",1050000,"Not SUV",107.90179476082
